title,domain,difficulty,duration,description,url
AAPC Medical Biller Professional Certificate,Health,Beginner,10.0,Offered by AAPC. Launch your career as a Certified Professional Biller (CPB)®. Develop skills that can assist in exam preparation and ... Enroll for free.,https://www.coursera.org/professional-certificates/aapc-medical-biller
ADP Entry-Level Payroll Specialist Professional Certificate,General,Beginner,10.0,"Offered by Automatic Data Processing, Inc. (ADP). Become a Successful Entry-Level Payroll Specialist. Gain the knowledge and develop ... Enroll for free.",https://www.coursera.org/professional-certificates/adp-payroll-specialist
AI Agent Developer Specialization,Data Science,Beginner,10.0,"Offered by Vanderbilt University. Master Skills of an AI Agent Software Developer. Learn to design, build, and refine intelligent software ... Enroll for free.",https://www.coursera.org/specializations/ai-agents
AI Agents and Agentic AI in Python: Powered by Generative AI Specialization,Data Science,Beginner,10.0,Offered by Vanderbilt University. Learn AI Agent Fundamentals from the Ground Up. Learn how to build resilient AI agents and develop Agentic ... Enroll for free.,https://www.coursera.org/specializations/ai-agents-python
AI Agents in Java with Generative AI Specialization,Data Science,Beginner,10.0,Offered by Vanderbilt University. Enterprise AI Automation With Java AI Agents. Learn to build powerful AI agents and AI agent architectures ... Enroll for free.,https://www.coursera.org/specializations/ai-agents-java
AI Agents in Typescript/Javascript Specialization,Computer Science,Beginner,3.0,Offered by Vanderbilt University. Learn to Build AI Agents in Typescript/Javascript. Master building AI agents in TypeScript/JavaScript that ... Enroll for free.,https://www.coursera.org/specializations/ai-agents-typescript-javascript
AI Agents with Model Context Protocol & Typescript Specialization,Data Science,Beginner,10.0,Offered by Vanderbilt University. Build Reliable AI Agents With TypeScript & MCP. Master TypeScript and MCP patterns to build AI agents that ... Enroll for free.,https://www.coursera.org/specializations/ai-agents-mode-context-protocol
AI Agents with Model Context Protocol Specialization,Data Science,Beginner,10.0,Offered by Vanderbilt University. Build Robust AI Agents With Python & MCP. Master agentic AI patterns to build AI agents that are reliable ... Enroll for free.,https://www.coursera.org/specializations/ai-agents-model-context-protocol
AI Builder Specialization,Data Science,Beginner,10.0,"Offered by Vanderbilt University. Build AI Apps and Automations. Build the skills to create AI apps, automate work, and solve real problems ... Enroll for free.",https://www.coursera.org/specializations/ai-builder
AI For Business Specialization,Data Science,Beginner,10.0,Offered by University of Pennsylvania. Learn the Fundamentals of AI and Machine Learning. Develop a deployment strategy for incorporating ... Enroll for free.,https://www.coursera.org/specializations/ai-for-business-wharton
AI For Everyone,Data Science,Beginner,7.0,"AI is not only for engineers. If you want your organization to become better at using AI, this is the course to tell everyone--especially your non-technical colleagues--to take. In this course, you will learn: - The meaning behind common AI terminology, including neural networks, machine learning, deep learning, and data science - What AI realistically can--and cannot--do - How to spot opportunities to apply AI to problems in your own organization - What it feels like to build machine learnin",https://www.coursera.org/learn/ai-for-everyone
AI For Everyone （すべての人のためのAIリテラシー講座）,Data Science,Beginner,7.0,AIはエンジニアだけのものではなく、今や社会⼈の基本リテラシーと⾔えます。本 コースは、AIの基礎を学びたい⽅、今の組織をAIを使いこなせる組織へと変⾰させ たい⽅、そんなすべての⽅々に、理系⽂系問わず、肩書きや職種問わず、受講いた だけるコースです。 本コースでは、次のことを学習していただきます： - ニューラルネットワーク、機械学習、ディープラーニング、データサイエンス など、⼀般的なAIに関する専⾨⽤語とその意味 - 実際にAIができること、できないこと - 組織の課題解決のためにAIを適⽤できる可能性とその⽅法 - 機械学習およびデータサイエンスプロジェクトの進め⽅ - AIエンジニアチームと連携して社内でAI戦略を構築する⽅法 - AIを取り巻く倫理的および社会的議論の概要 本コースはDeepLearning.AIが提供している通常の「AI for Everyone」（オリジナルは英語）に、JDLAが制作し、松尾先生が講師を務める”DXとは何か”、”DXにおけるAIの重要性”、“日本におけるAI活用”を追加 した 特別版 となります。 本コースの修了証を提示すると、JD,https://www.coursera.org/learn/ai-for-everyone-ja
AI Foundations for Business Professionals Specialization,Data Science,Beginner,10.0,"Offered by Saïd Business School, University of Oxford. Harness AI to drive strategic business impact . Master AI concepts and governance ... Enroll for free.",https://www.coursera.org/specializations/ai-foundations-business-professionals
AI Foundations for Everyone Specialization,Data Science,Beginner,10.0,Offered by IBM. Unlock your potential with AI. Build job-ready AI skills to enhance your career. Everyone welcome. No prior AI background ... Enroll for free.,https://www.coursera.org/specializations/ai-foundations-for-everyone
AI Fundamentals,Data Science,Beginner,3.0,"Ready to move beyond the buzz and see real results with AI? This course covers the fundamentals of working with AI, like understanding its strengths and limitations so you can leverage it effectively at work. You’ll learn how to give AI clear and specific instructions, called prompts, and how to use AI responsibly by maintaining a “human-in-the-loop” approach. By the end of this course, you will: • Adopt a new way of working with AI, moving beyond a simple task completer to a professional col",https://www.coursera.org/learn/google-ai-fundamentals
